id,name,alias,status,nodeCount,nodeCountHa,username,userId,tenantId,pluginName,pluginVersion,keypair,neutronManagementNetwork,neutronManagementNetworkName,cloudDiskInUse,localDiskInUse,managementNetworkList,healthStatus,clusterMode,createdAt,masterIp,virtualIp,realIp,serviceName,administrator,customConfig,driverUrl,monitorOn,monitorInterval,advancedFeaturelicense,antiAffinity,serverVersion,newLicenseCluster,monitorVersion,archType,backup,ha,share,redisSentinelVip,dbNewVersion,availabilityZone,instanceName,internalIp,cpu,ram,disk
faee6c0d-92e0-4448-936a-32dcbd725f90,redis5vjj13aa,HNSJYT-DJG-redis-135-004,ACTIVE,8,8,sztzyjy,285ce5ef6ce841cd925c1652053f0008,f6f67bd69dc54d54b84b2e7497e69e0a,dataengine,3.0,dbaas,1cdbea05-d40b-40c2-9344-fe377298c448,jyt-134-0-23,False,False,['10.148.134.0/23'],HEALTHY,2,2025-09-19 16:20:50,10.148.135.169,10.148.135.180,10.148.135.180,redis,admin,{},"10.148.135.171:7001,10.148.135.172:7001,10.148.135.173:7001,10.148.135.174:7001,10.148.135.175:7001,10.148.135.176:7001,10.148.135.169:7001,10.148.135.170:7001",1,120s,0,False,4.0.14,True,v1,x86,False,True,False,,,HLW_HG4_Domain01,redis5vjj13aa-redis-core-4-28dcd-0,10.148.135.174,2,4,100
faee6c0d-92e0-4448-936a-32dcbd725f90,redis5vjj13aa,HNSJYT-DJG-redis-135-004,ACTIVE,8,8,sztzyjy,285ce5ef6ce841cd925c1652053f0008,f6f67bd69dc54d54b84b2e7497e69e0a,dataengine,3.0,dbaas,1cdbea05-d40b-40c2-9344-fe377298c448,jyt-134-0-23,False,False,['10.148.134.0/23'],HEALTHY,2,2025-09-19 16:20:50,10.148.135.169,10.148.135.180,10.148.135.180,redis,admin,{},"10.148.135.171:7001,10.148.135.172:7001,10.148.135.173:7001,10.148.135.174:7001,10.148.135.175:7001,10.148.135.176:7001,10.148.135.169:7001,10.148.135.170:7001",1,120s,0,False,4.0.14,True,v1,x86,False,True,False,,,HLW_HG4_Domain01,redis5vjj13aa-redis-core-5-3de1f-0,10.148.135.175,2,4,100
faee6c0d-92e0-4448-936a-32dcbd725f90,redis5vjj13aa,HNSJYT-DJG-redis-135-004,ACTIVE,8,8,sztzyjy,285ce5ef6ce841cd925c1652053f0008,f6f67bd69dc54d54b84b2e7497e69e0a,dataengine,3.0,dbaas,1cdbea05-d40b-40c2-9344-fe377298c448,jyt-134-0-23,False,False,['10.148.134.0/23'],HEALTHY,2,2025-09-19 16:20:50,10.148.135.169,10.148.135.180,10.148.135.180,redis,admin,{},"10.148.135.171:7001,10.148.135.172:7001,10.148.135.173:7001,10.148.135.174:7001,10.148.135.175:7001,10.148.135.176:7001,10.148.135.169:7001,10.148.135.170:7001",1,120s,0,False,4.0.14,True,v1,x86,False,True,False,,,HLW_HG4_Domain01,redis5vjj13aa-redis-core-6-1af51-0,10.148.135.176,2,4,100
faee6c0d-92e0-4448-936a-32dcbd725f90,redis5vjj13aa,HNSJYT-DJG-redis-135-004,ACTIVE,8,8,sztzyjy,285ce5ef6ce841cd925c1652053f0008,f6f67bd69dc54d54b84b2e7497e69e0a,dataengine,3.0,dbaas,1cdbea05-d40b-40c2-9344-fe377298c448,jyt-134-0-23,False,False,['10.148.134.0/23'],HEALTHY,2,2025-09-19 16:20:50,10.148.135.169,10.148.135.180,10.148.135.180,redis,admin,{},"10.148.135.171:7001,10.148.135.172:7001,10.148.135.173:7001,10.148.135.174:7001,10.148.135.175:7001,10.148.135.176:7001,10.148.135.169:7001,10.148.135.170:7001",1,120s,0,False,4.0.14,True,v1,x86,False,True,False,,,HLW_HG4_Domain01,redis5vjj13aa-redis-master-2-21f9b-0,10.148.135.170,2,4,100
faee6c0d-92e0-4448-936a-32dcbd725f90,redis5vjj13aa,HNSJYT-DJG-redis-135-004,ACTIVE,8,8,sztzyjy,285ce5ef6ce841cd925c1652053f0008,f6f67bd69dc54d54b84b2e7497e69e0a,dataengine,3.0,dbaas,1cdbea05-d40b-40c2-9344-fe377298c448,jyt-134-0-23,False,False,['10.148.134.0/23'],HEALTHY,2,2025-09-19 16:20:50,10.148.135.169,10.148.135.180,10.148.135.180,redis,admin,{},"10.148.135.171:7001,10.148.135.172:7001,10.148.135.173:7001,10.148.135.174:7001,10.148.135.175:7001,10.148.135.176:7001,10.148.135.169:7001,10.148.135.170:7001",1,120s,0,False,4.0.14,True,v1,x86,False,True,False,,,HLW_HG4_Domain01,redis5vjj13aa-redis-core-1-2e65b-0,10.148.135.171,2,4,100
faee6c0d-92e0-4448-936a-32dcbd725f90,redis5vjj13aa,HNSJYT-DJG-redis-135-004,ACTIVE,8,8,sztzyjy,285ce5ef6ce841cd925c1652053f0008,f6f67bd69dc54d54b84b2e7497e69e0a,dataengine,3.0,dbaas,1cdbea05-d40b-40c2-9344-fe377298c448,jyt-134-0-23,False,False,['10.148.134.0/23'],HEALTHY,2,2025-09-19 16:20:50,10.148.135.169,10.148.135.180,10.148.135.180,redis,admin,{},"10.148.135.171:7001,10.148.135.172:7001,10.148.135.173:7001,10.148.135.174:7001,10.148.135.175:7001,10.148.135.176:7001,10.148.135.169:7001,10.148.135.170:7001",1,120s,0,False,4.0.14,True,v1,x86,False,True,False,,,HLW_HG4_Domain01,redis5vjj13aa-redis-core-2-e57d6-0,10.148.135.172,2,4,100
faee6c0d-92e0-4448-936a-32dcbd725f90,redis5vjj13aa,HNSJYT-DJG-redis-135-004,ACTIVE,8,8,sztzyjy,285ce5ef6ce841cd925c1652053f0008,f6f67bd69dc54d54b84b2e7497e69e0a,dataengine,3.0,dbaas,1cdbea05-d40b-40c2-9344-fe377298c448,jyt-134-0-23,False,False,['10.148.134.0/23'],HEALTHY,2,2025-09-19 16:20:50,10.148.135.169,10.148.135.180,10.148.135.180,redis,admin,{},"10.148.135.171:7001,10.148.135.172:7001,10.148.135.173:7001,10.148.135.174:7001,10.148.135.175:7001,10.148.135.176:7001,10.148.135.169:7001,10.148.135.170:7001",1,120s,0,False,4.0.14,True,v1,x86,False,True,False,,,HLW_HG4_Domain01,redis5vjj13aa-redis-master-1-eee94-0,10.148.135.169,2,4,100
faee6c0d-92e0-4448-936a-32dcbd725f90,redis5vjj13aa,HNSJYT-DJG-redis-135-004,ACTIVE,8,8,sztzyjy,285ce5ef6ce841cd925c1652053f0008,f6f67bd69dc54d54b84b2e7497e69e0a,dataengine,3.0,dbaas,1cdbea05-d40b-40c2-9344-fe377298c448,jyt-134-0-23,False,False,['10.148.134.0/23'],HEALTHY,2,2025-09-19 16:20:50,10.148.135.169,10.148.135.180,10.148.135.180,redis,admin,{},"10.148.135.171:7001,10.148.135.172:7001,10.148.135.173:7001,10.148.135.174:7001,10.148.135.175:7001,10.148.135.176:7001,10.148.135.169:7001,10.148.135.170:7001",1,120s,0,False,4.0.14,True,v1,x86,False,True,False,,,HLW_HG4_Domain01,redis5vjj13aa-redis-core-3-67a29-0,10.148.135.173,2,4,100
a7d0e92f-6f4b-409d-b762-6a9769090779,redislahm4xip,HNSJYT-DJG-redis-134-069,ACTIVE,3,3,sztzyjy,285ce5ef6ce841cd925c1652053f0008,f6f67bd69dc54d54b84b2e7497e69e0a,dataengine,3.0,dbaas,1cdbea05-d40b-40c2-9344-fe377298c448,jyt-134-0-23,False,False,['10.148.134.0/23'],HEALTHY,1,2025-09-19 15:55:50,10.148.134.206,10.148.135.55,10.148.135.55,redis,admin,{},"10.148.134.208:27001,10.148.134.206:27001,10.148.134.207:27001",1,120s,0,False,4.0.14,True,v1,x86,False,True,False,10.148.135.135:7001,,HLW_HG4_Domain01,redislahm4xip-redis-core-1-f2f69-0,10.148.134.208,2,4,50
a7d0e92f-6f4b-409d-b762-6a9769090779,redislahm4xip,HNSJYT-DJG-redis-134-069,ACTIVE,3,3,sztzyjy,285ce5ef6ce841cd925c1652053f0008,f6f67bd69dc54d54b84b2e7497e69e0a,dataengine,3.0,dbaas,1cdbea05-d40b-40c2-9344-fe377298c448,jyt-134-0-23,False,False,['10.148.134.0/23'],HEALTHY,1,2025-09-19 15:55:50,10.148.134.206,10.148.135.55,10.148.135.55,redis,admin,{},"10.148.134.208:27001,10.148.134.206:27001,10.148.134.207:27001",1,120s,0,False,4.0.14,True,v1,x86,False,True,False,10.148.135.135:7001,,HLW_HG4_Domain01,redislahm4xip-redis-master-1-807c7-0,10.148.134.206,2,4,100
